epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.509,0.93931,4.58451,0.91462,0.1502,0.25422,0.11588,0.09147,0.96933,2.36126,0.89592,0.00332989,0.00332989,0.00332989
2,357.681,0.90686,3.18703,0.91655,0.34742,0.41019,0.28721,0.23781,0.94377,2.07903,0.9,0.00653129,0.00653129,0.00653129
3,516.236,0.92115,2.60581,0.93311,0.48025,0.40684,0.38141,0.3182,0.93447,1.75564,0.91964,0.00960069,0.00960069,0.00960069
4,674.22,0.90755,2.0184,0.93111,0.51802,0.47956,0.45545,0.38768,0.8901,1.56864,0.89693,0.009406,0.009406,0.009406
5,832.297,0.84211,1.58471,0.91244,0.54744,0.5159,0.49821,0.41762,0.90867,1.41404,0.89852,0.009208,0.009208,0.009208
6,989.446,0.81054,1.3996,0.90549,0.56279,0.55211,0.53031,0.45513,0.84231,1.30934,0.88412,0.00901,0.00901,0.00901
7,1146.35,0.78489,1.30374,0.89819,0.61467,0.54585,0.56062,0.48516,0.80755,1.24219,0.87235,0.008812,0.008812,0.008812
8,1305.03,0.76216,1.23268,0.88879,0.6306,0.56374,0.58097,0.50402,0.79559,1.20339,0.87472,0.008614,0.008614,0.008614
9,1462.63,0.74532,1.1734,0.88335,0.66069,0.57747,0.59366,0.51407,0.79147,1.16698,0.86977,0.008416,0.008416,0.008416
10,1620.36,0.73376,1.13818,0.88242,0.6356,0.58049,0.60186,0.52324,0.77784,1.12741,0.86545,0.008218,0.008218,0.008218
11,1782.02,0.71793,1.09298,0.87945,0.67503,0.59945,0.62069,0.54312,0.75548,1.08769,0.85733,0.00802,0.00802,0.00802
12,1944.67,0.71199,1.07399,0.8747,0.65268,0.60808,0.62695,0.5501,0.75023,1.07575,0.85665,0.007822,0.007822,0.007822
13,2107.56,0.70297,1.05087,0.87155,0.6956,0.61053,0.64204,0.56392,0.74011,1.04833,0.85431,0.007624,0.007624,0.007624
14,2269.47,0.69639,1.02316,0.8694,0.71447,0.60983,0.64861,0.57345,0.72418,1.00586,0.84917,0.007426,0.007426,0.007426
15,2432.89,0.68817,1.00095,0.86764,0.73817,0.60342,0.66716,0.5901,0.71512,0.99293,0.84863,0.007228,0.007228,0.007228
16,2593.84,0.68191,0.97512,0.86664,0.71264,0.63005,0.67112,0.59289,0.72007,0.97317,0.84968,0.00703,0.00703,0.00703
17,2753.52,0.67872,0.97313,0.86362,0.71974,0.62224,0.67147,0.5945,0.72093,0.95053,0.84781,0.006832,0.006832,0.006832
18,2911.4,0.66814,0.94885,0.86184,0.73943,0.62792,0.68872,0.61349,0.69963,0.93616,0.84392,0.006634,0.006634,0.006634
19,3068.21,0.65507,0.91433,0.85717,0.76453,0.62601,0.69399,0.6163,0.70211,0.91564,0.8429,0.006436,0.006436,0.006436
20,3226.58,0.6651,0.9245,0.85963,0.74677,0.6386,0.70065,0.62339,0.69525,0.9074,0.84225,0.006238,0.006238,0.006238
21,3384.76,0.65068,0.89782,0.8553,0.77109,0.63458,0.70659,0.63139,0.68568,0.87868,0.84167,0.00604,0.00604,0.00604
22,3543.37,0.65005,0.88053,0.85484,0.77415,0.64449,0.70657,0.63041,0.68116,0.87588,0.83972,0.005842,0.005842,0.005842
23,3701.15,0.64491,0.86537,0.85456,0.77692,0.64161,0.70951,0.63248,0.68041,0.86328,0.83826,0.005644,0.005644,0.005644
24,3858.89,0.63516,0.85478,0.85266,0.77178,0.6522,0.71842,0.64242,0.67791,0.85816,0.83822,0.005446,0.005446,0.005446
25,4018.49,0.63594,0.84617,0.85308,0.80091,0.63914,0.7264,0.65075,0.67016,0.83494,0.83543,0.005248,0.005248,0.005248
26,4177.71,0.63184,0.83524,0.85196,0.80986,0.62949,0.7217,0.64711,0.6702,0.83718,0.83606,0.00505,0.00505,0.00505
27,4336.01,0.63218,0.8362,0.85029,0.7907,0.65113,0.7283,0.654,0.66598,0.82742,0.83449,0.004852,0.004852,0.004852
28,4493.39,0.62208,0.82752,0.84659,0.78414,0.65936,0.73068,0.65504,0.66325,0.81181,0.83356,0.004654,0.004654,0.004654
29,4651.57,0.61422,0.80708,0.84785,0.78994,0.66059,0.72999,0.65594,0.66018,0.81241,0.83288,0.004456,0.004456,0.004456
